smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,round,closest_market_drug,closest_market_smiles,max_market_similarity
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCNCCN1,9.270658626152096,0.0385112129402216,0.4124094644026705,495.9900000000003,3.3457,95.07,3,7,0.0,9.438352145413209,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCCN1,3,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.34782608695652173
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCNC1,9.253337936493812,0.0458541854565255,0.4584545385928302,496.97400000000033,3.772700000000001,92.27,2,7,0.0,9.436711020333702,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCOC1,2,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.3404255319148936
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CCN1,9.204553917695954,0.0221474026808841,0.4956351485756322,484.40200000000016,3.216500000000001,85.42,3,7,0.0,9.430224089302886,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CCO1,2,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,0.3333333333333333
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCCOC1,9.196483314976078,0.026028668589312,0.4729326075877528,481.95900000000034,4.615700000000004,80.24000000000001,1,6,0.0,9.406920950180645,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCOC1,2,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.35555555555555557
C=CC(=O)NC1=NOOC=C2N=CN=C(Nc3cccc(C)c3)C21,9.084778316321785,0.0271407678694769,0.6407322672510349,325.3280000000001,1.88242,96.67,2,7,0.0,9.378003682077823,C=CC(=O)NC1=NOC=C2N=CN=C(Nc3cccc(C)c3)C21,2,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.25882352941176473
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1OCCCCO1,9.19523193067144,0.0451883255227621,0.4427895779037563,497.9580000000004,4.894900000000003,89.47000000000001,1,7,0.0,9.371438394100556,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCCCO1,3,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.367816091954023
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CNC1,9.12035704149368,0.0302189200101212,0.4956351485756322,484.40200000000016,3.216500000000001,85.42,3,7,0.0,9.337955695771376,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)COC1,2,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCN(C)CC1,0.34831460674157305
C=CC(=N)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.07560247092036,0.0450974808508459,0.5775653740995258,292.346,2.4698900000000004,84.99000000000001,3,5,0.0,9.319287677119275,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,1,Osimertinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,0.2
NC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.047488927100469,0.018126810325921,0.5253198346334698,401.2680000000001,3.2083000000000004,105.82,3,6,0.0,9.292022034091284,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,1,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.4084507042253521
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCCOCO1,9.094282704997594,0.0368499032007496,0.4565833492050278,497.9580000000004,4.547300000000004,89.47000000000001,1,7,0.0,9.28572447639936,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCCCO1,3,Sunvozertinib,C=CC(=O)Nc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cn1,0.34408602150537637
