smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed
C=CC(=O)OC(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.922443139528406,0.034849826760856385,0.50874426616121,399.24800000000005,4.321100000000002,77.0,1,6,0.0,9.141965445848154,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CC(C(=O)C=CO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.935632125479604,0.04434878143152143,0.4921019548555872,399.24800000000005,4.2752000000000026,88.0,2,6,0.0,9.137334321475876,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
C=CC(=O)OC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.83317865828847,0.040567589557085254,0.6721170843977406,294.314,2.4462200000000003,75.41,1,6,0.0,9.128669610930254,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21
O=C(O)CCOCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.942960443392838,0.014436984761682458,0.3774228935382279,418.2510000000001,3.3916000000000013,109.26,3,7,0.0,9.11723490540027,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
NC(CO)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.857639269113651,0.01734863496664861,0.5121222681157751,389.25700000000006,2.2623999999999995,108.98,4,7,0.0,9.09635176820489,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(OC)c3)C21,8.72597972937778,0.05068390293820889,0.8333853565528977,309.32900000000006,1.7194,87.44000000000001,2,6,0.0,9.09198850471602,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1OC=CCCN1CCOCC1,8.950608394794733,0.0352532481425191,0.35067720303152883,497.95800000000037,4.147400000000003,89.47000000000001,1,7,0.0,9.090693748167979,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1
C=CC(=O)OC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,8.791437204878996,0.051425788907693774,0.6880835687619656,293.326,2.974120000000001,63.05,1,5,0.0,9.084053200352285,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21
NCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.84319271892974,0.01769715891199019,0.5121222681157751,389.25700000000006,2.2623999999999995,108.98,4,7,0.0,9.081556694075639,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
N=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.94675006424257,0.014898667958658638,0.2678322583129494,401.26800000000014,4.258270000000001,106.81,4,6,0.0,9.065767525440387,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12
CN(C)COC=CC(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,8.92988264249496,0.042280536941321153,0.35253443638555976,441.89400000000023,4.104400000000003,70.58999999999999,1,6,0.0,9.063869323746419,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1
C=CC(=N)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.81232711905983,0.05983487961024323,0.6195224659014356,382.26500000000004,4.840170000000003,74.55000000000001,2,5,0.0,9.062253472400306,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1
OCOC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.860315930805234,0.024146906192554912,0.4422543456553052,406.24000000000007,2.227599999999999,112.42,4,8,0.0,9.05729619744033,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.758857966570991,0.024525597598195642,0.635645280762051,374.2420000000001,3.3236000000000008,82.96,3,6,0.0,9.052155009353822,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(Cl)c(Cl)c1,8.798595766768036,0.04035797290758486,0.5814863659742058,442.35000000000014,4.687100000000004,61.36000000000001,1,5,0.0,9.048980976847556,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCCC1,9.332849736704796,0.02436888670175321,0.4721874075944484,465.9600000000003,5.031700000000003,71.01,1,5,0.5,9.044574553800267,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1
N=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.928348598899337,0.02132744087233965,0.2678322583129495,401.2680000000001,4.258270000000002,106.81,4,6,0.0,9.040937287183473,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
O=C(O)OCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.858563683642027,0.01571076262270645,0.3899410201394932,418.2510000000001,4.0275000000000025,109.26,3,7,0.0,9.037823431089066,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1
