smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,parent_predicted_pIC50,parent_QED,parent_final_score,delta_predicted_pIC50,delta_QED,delta_final_score
C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1OC=CCCN1CCOCC1,8.950608394794733,0.0352532481425191,0.3506772030315288,497.9580000000004,4.147400000000003,89.47000000000001,1,7,0.0,9.09069374816798,C=CC(=O)Nc1nc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1,9.382153026658898,0.4839275266830337,9.596193109686268,-0.43154463186416514,-0.1332503236515049,-0.5054993615182877
NCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.84319271892974,0.0176971589119901,0.5121222681157751,389.25700000000006,2.2623999999999995,108.98,4,7,0.0,9.08155669407564,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.5122032504279255,9.58747202473561,-0.5153866078010729,-8.098231215036833e-05,-0.5059153306599704
CN(C)COC=CC(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,8.92988264249496,0.0422805369413211,0.3525344363855597,441.8940000000002,4.104400000000003,70.58999999999999,1,6,0.0,9.06386932374642,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.6214205553234822,9.58041020053087,-0.3845761639698786,-0.26888611893792247,-0.5165408767844504
OCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.700434739116329,0.0147681210137733,0.6303772887856234,346.18800000000005,2.8926000000000007,82.96,3,6,0.0,9.000855262495367,CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.150625171571486,0.7686164717854101,9.520731468576212,-0.4501904324551571,-0.13823918299978677,-0.5198762060808448
OCOC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.860315930805234,0.0241469061925549,0.4422543456553052,406.24000000000007,2.227599999999999,112.42,4,8,0.0,9.05729619744033,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.5122032504279255,9.58747202473561,-0.49826339592558,-0.06994890477262028,-0.530175827295281
C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(OC)c3)C21,8.72597972937778,0.0506839029382088,0.8333853565528977,309.32900000000006,1.7194,87.44000000000001,2,6,0.0,9.09198850471602,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.225868842634966,0.8182257163781242,9.623413495652406,-0.4998891132571863,0.015159640174773448,-0.5314249909363848
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(Cl)c(Cl)c1,8.798595766768036,0.0403579729075848,0.5814863659742058,442.35000000000014,4.687100000000004,61.36000000000001,1,5,0.0,9.048980976847556,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.6214205553234822,9.58041020053087,-0.5158630396968018,-0.039934189349276394,-0.5314292236833147
N=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,8.94675006424257,0.0148986679586586,0.2678322583129494,401.26800000000014,4.258270000000001,106.81,4,6,0.0,9.065767525440387,O=C(O)CCCNc1c(Br)cccc1Nc1ncnc2ccncc12,9.35150962487041,0.5170252665618642,9.598318997691685,-0.4047595606278396,-0.24919300824891483,-0.5325514722512974
CC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.758857966570991,0.0245255975981956,0.635645280762051,374.2420000000001,3.3236000000000008,82.96,3,6,0.0,9.052155009353822,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.5122032504279255,9.58747202473561,-0.5997213601598226,0.12344203033412549,-0.5353170153817892
N=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,8.928348598899337,0.0213274408723396,0.2678322583129495,401.2680000000001,4.258270000000002,106.81,4,6,0.0,9.040937287183471,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,9.347422264803685,0.5170252665618643,9.583455041718128,-0.4190736659043477,-0.24919300824891483,-0.5425177545346571
