smiles,predicted_pIC50,uncertainty,QED,MW,LogP,TPSA,HBD,HBA,penalty,final_score,parent_seed,parent_predicted_pIC50,parent_uncertainty,parent_QED,parent_final_score,delta_predicted_pIC50,delta_QED,delta_final_score
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1F,9.161876257309382,0.0256398081582253,0.5124555535223405,487.3770000000001,4.007500000000002,73.39,2,6,0.0,9.392464225912327,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.408758181162073,0.0170345657177272,0.5737333346179045,9.678590282753298,-0.24688192385269048,-0.06127778109556403,-0.2861260568409705
CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1N,9.12678503217238,0.0389110759834733,0.4948803999203701,484.40200000000016,2.9967,99.41,3,7,0.0,9.335314156149092,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1,9.408758181162073,0.0170345657177272,0.5737333346179045,9.678590282753298,-0.2819731489896924,-0.07885293469753446,-0.3432761266042057
CN(N)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.075244393412468,0.0382219610214924,0.3690731268869169,426.88300000000015,3.4167000000000014,87.38,2,6,0.0,9.221558995834435,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.0447588835957084,0.6214205553234822,9.58041020053087,-0.23921441305236968,-0.25234742843656527,-0.3588512046964354
CC(C(=O)C=N)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.948520125205786,0.0333936929323652,0.6522603889319452,384.2370000000001,3.8530700000000015,91.62,2,6,0.0,9.241256626739393,C=CC(=O)C(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.331955814487577,0.0384331354226647,0.6622425832625197,9.62464397069617,-0.38343568928179117,-0.009982194330574568,-0.38338734395677676
COc1cc(COCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,8.988803133055367,0.0052048842114947,0.2920205559997803,461.56600000000014,3.8572000000000015,95.53,3,7,0.0,9.129608526843764,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.452730415591995,0.0272753351702799,0.2546302680559155,9.552770214449676,-0.46392728253662874,0.037390287943864786,-0.4231616876059121
C=CC(=O)OC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,8.791437204878997,0.0514257889076935,0.6880835687619656,293.326,2.974120000000001,63.05,1,5,0.0,9.084053200352288,C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,9.148910562934578,0.0294474817887876,0.8407986245812334,9.539862393436406,-0.35747335805558045,-0.1527150558192678,-0.45580919308411794
OCC(O)CCc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.8445904765308,0.0141572672080046,0.6007613315921468,389.253,2.816700000000001,91.16,3,6,0.0,9.13081387511887,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.0272089272091656,0.5122032504279255,9.58747202473561,-0.513988850200013,0.08855808116422137,-0.4566581496167412
COc1cc(CCCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,8.961475589230597,0.0200736113260408,0.2828502690873573,459.5940000000001,4.663300000000003,86.30000000000001,3,6,0.0,9.082827112448236,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.452730415591995,0.0272753351702799,0.2546302680559155,9.552770214449676,-0.4912548263613985,0.028220001031441788,-0.46994310200144085
COc1cc(COCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,8.938847164484105,0.0120359654362366,0.2699927539188509,496.58900000000017,3.340200000000001,126.43,3,8,0.0,9.061807576007292,COc1cc(CNCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.448411239489172,0.0283152732685801,0.2338550821168015,9.537023507278992,-0.5095640750050663,0.03613767180204941,-0.47521593127170014
C=CC(=O)OC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,8.833178658288471,0.0405675895570878,0.6721170843977406,294.314,2.4462200000000003,75.41,1,6,0.0,9.128669610930254,C=CC(=O)NC1=NC=C2N=CN=C(Nc3cccc(C)c3)C21,9.225868842634966,0.0115682051716229,0.8182257163781242,9.623413495652406,-0.3926901843464954,-0.1461086319803836,-0.49474388472215125
COc1cc(CCCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,8.915628024273499,0.012689254631679,0.2682329830455204,494.6170000000001,4.146300000000003,117.20000000000002,3,7,0.0,9.03705526116458,COc1cc(CNCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.448411239489172,0.0283152732685801,0.2338550821168015,9.537023507278992,-0.5327832152156731,0.034377900928718896,-0.4999682461144115
NCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.843192718929739,0.0176971589119895,0.5121222681157751,389.25700000000006,2.2623999999999995,108.98,4,7,0.0,9.081556694075635,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.358579326730814,0.0272089272091656,0.5122032504279255,9.58747202473561,-0.5153866078010747,-8.098231215036833e-05,-0.5059153306599757
CS(=O)(=O)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)c(ON)c1,9.259823178561538,0.0244548596790821,0.1550908929342717,496.5930000000002,2.1571,155.25,5,9,0.3,9.012913765349593,COc1cc(CNCCS(C)(=O)=O)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,9.448411239489172,0.0283152732685801,0.2338550821168015,9.537023507278992,-0.1885880609276338,-0.07876418918252981,-0.524109741929399
CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(Cl)c(Cl)c1,8.79859576676804,0.0403579729075853,0.5814863659742058,442.35000000000014,4.687100000000004,61.36000000000001,1,5,0.0,9.048980976847558,CN(C)C/C=C/C(=O)Nc1ccc2ncnc3c2c1CCN3c1ccc(F)c(Cl)c1,9.314458806464838,0.0447588835957084,0.6214205553234822,9.58041020053087,-0.5158630396967983,-0.039934189349276394,-0.5314292236833129
