smiles_canonical,ic50_nm_median,pIC50_median,n_measurements,year_min,year_max,n_sources
OCC(O)C(O)C(O)C(O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,4.8,8.318758762624412,1,1997,1997,1
Brc1cccc(Nc2ncnc3cc4[nH]cc(CN5CCOCC5)c4cc23)c1,4.8,8.318758762624412,1,1997,1997,1
CN1CCN(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CC1,4.9,8.309803919971486,1,1997,1997,1
Nc1cccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)c1,5.0,8.301029995663981,1,1997,1997,1
Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,5.0,8.301029995663981,1,1997,1997,1
O=C(O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc21,5.1,8.292429823902063,1,1997,1997,1
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,5.4,8.267606240177031,1,1997,1997,1
Cc1cccc(Nc2ncnc3cc(NCCCCN(C)C)ncc23)c1,5.4,8.267606240177031,1,1997,1997,1
Cc1cccc(Nc2ncnc3cc(NCCCN4CCN(C)CC4)ncc23)c1,5.6,8.2518119729938,1,1997,1997,1
Cc1cc(C(=O)N2CC(C)NC(C)C2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.9,8.229147988357855,1,2002,2002,1
CN(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.0,8.221848749616356,1,2001,2001,1
Oc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,6.0,8.221848749616356,1,1997,1997,1
CN1CCN(c2cc3c(Nc4cccc(Br)c4)ncnc3cn2)CC1,6.4,8.193820026016112,1,1998,1998,1
Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1Cl,6.5,8.187086643357144,1,1996,1996,1
Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.5,8.187086643357144,1,2002,2002,1
CNc1ccc2ncncc2c1,7.0,8.154901959985743,1,1996,1996,1
CNc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,7.0,8.154901959985743,1,1996,1996,1
Clc1cccc(Nc2ncnc3n[nH]c(NCc4ccccc4)c23)c1,7.0,8.154901959985743,1,1997,1997,1
Fc1cccc(COc2ccc(Nc3ncnc4cc(C#C[C@H]5CCCN5)sc34)cc2Cl)c1,7.0,8.154901959985743,1,2008,2008,1
COc1ccc(CNc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,7.0,8.154901959985743,1,1997,1997,1
NNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,7.1,8.148741651280925,1,1997,1997,1
Cc1cccc(Nc2ncnc3cc(NCCc4cnc[nH]4)ncc23)c1,7.2,8.142667503568731,1,1997,1997,1
CN(C)CCCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,7.4,8.130768280269024,1,1997,1997,1
