smiles_canonical,ic50_nm_median,pIC50_median,n_measurements,year_min,year_max
CCN1CCC(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.2,9.698970004336019,3,9.130768280269024,9.769551078621726
CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.2,9.698970004336019,1,9.698970004336019,9.698970004336019
COc1cc(N2CCOCC2)c(-c2cnn(C)c2)cc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,0.2,9.698970004336019,1,9.698970004336019,9.698970004336019
COc1cc(N2CCC(NCCO)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1,0.2,9.698970004336019,1,9.698970004336019,9.698970004336019
CN1CCC(c2ccc(-c3ccc4ncn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3)cc2)CC1,0.2,9.698970004336019,1,9.698970004336019,9.698970004336019
COc1cc(CO)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.2,9.698970004336019,1,9.698970004336019,9.698970004336019
COCCOc1cnccc1-c1[nH]c2c(c1Nc1cc(F)cc(F)c1OC)C(=O)NCC2,0.209,9.679853713888946,1,9.679853713888946,9.679853713888946
O=C1CCc2c(Oc3ccc4c(c3)[C@H]3[C@H](NC(=O)c5ccc(CN6CCN7CCC[C@@H]7C6)c(C(F)(F)F)c5)[C@H]3O4)ccnc2N1,0.21,9.67778070526608,3,9.173925197299173,9.795880017344075
COC(C)(C)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1)C(=O)NCC2,0.212,9.67366413907125,1,9.67366413907125,9.67366413907125
C=CC(=O)N1CCC(Oc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2O[C@H]2CCOC2)CC1,0.261,9.663507988597944,4,6.087246696328677,9.950781977329818
COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1Br)C(=O)NCC2,0.218,9.661543506395395,1,9.661543506395395,9.661543506395395
COc1cc(N2CCC(N3CCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.218,9.661543506395395,9,8.101274818410506,9.886056647693163
COCCOc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1C)C(=O)NCC2,0.2355,9.659478929945948,2,9.492144128304169,9.826813731587727
CCOC(=O)C1=C(C(F)(F)F)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(S(=O)(=O)c2ccccc2)cc1,0.22,9.657577319177793,1,9.657577319177793,9.657577319177793
C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccc([N+](=O)[O-])cc1,0.22,9.657577319177793,1,9.657577319177793,9.657577319177793
CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.22,9.657577319177793,1,9.657577319177793,9.657577319177793
C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccccc1[N+](=O)[O-],0.22,9.657577319177793,1,9.657577319177793,9.657577319177793
Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.22,9.657577319177793,1,9.657577319177793,9.657577319177793
Cn1c(C[N+](C)(C)C/C=C/C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)ccc1[N+](=O)[O-],0.22,9.657577319177793,1,9.657577319177793,9.657577319177793
Cn1ncc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.22,9.657577319177793,1,9.657577319177793,9.657577319177793
Cn1cc([N+](=O)[O-])nc1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.22,9.657577319177793,1,9.657577319177793,9.657577319177793
