activity_id,assay_chembl_id,assay_type,document_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value
329906,CHEMBL677206,B,CHEMBL1129933,CHEMBL135577,5.34,=,=,IC50,nM,4600.0,IC50,uM,4.6
330466,CHEMBL679946,B,CHEMBL1127568,CHEMBL419248,,>,>,IC50,nM,20000.0,IC50,uM,20.0
330534,CHEMBL679946,B,CHEMBL1127568,CHEMBL66932,,>,>,IC50,nM,20000.0,IC50,uM,20.0
330793,CHEMBL676067,B,CHEMBL1136802,CHEMBL115519,4.08,=,=,IC50,nM,83176.38,pIC50,,4.08
330795,CHEMBL676067,B,CHEMBL1136802,CHEMBL119156,5.47,=,=,IC50,nM,3388.44,pIC50,,5.47
330797,CHEMBL676067,B,CHEMBL1136802,CHEMBL119987,6.15,=,=,IC50,nM,707.95,pIC50,,6.15
330799,CHEMBL676067,B,CHEMBL1136802,CHEMBL54471,4.82,=,=,IC50,nM,15135.61,pIC50,,4.82
330836,CHEMBL677388,B,CHEMBL1135889,CHEMBL1744347,7.12,=,=,IC50,nM,75.0,IC50,uM,0.075
330838,CHEMBL691873,F,CHEMBL1135889,CHEMBL1744347,7.00,=,=,IC50,nM,100.0,IC50,uM,0.1
331168,CHEMBL677206,B,CHEMBL1129933,CHEMBL334915,5.46,=,=,IC50,nM,3500.0,IC50,uM,3.5
331829,CHEMBL679946,B,CHEMBL1127568,CHEMBL66063,,>,>,IC50,nM,20000.0,IC50,uM,20.0
331831,CHEMBL679946,B,CHEMBL1127568,CHEMBL69820,,>,>,IC50,nM,20000.0,IC50,uM,20.0
332153,CHEMBL676067,B,CHEMBL1136802,CHEMBL55979,5.60,=,=,IC50,nM,2511.89,pIC50,,5.6
332171,CHEMBL677388,B,CHEMBL1135889,CHEMBL25610,6.40,=,=,IC50,nM,400.0,IC50,uM,0.4
332173,CHEMBL691873,F,CHEMBL1135889,CHEMBL25610,6.52,=,=,IC50,nM,300.0,IC50,uM,0.3
332492,CHEMBL677206,B,CHEMBL1129933,CHEMBL137422,5.21,=,=,IC50,nM,6100.0,IC50,uM,6.1
333312,CHEMBL679946,B,CHEMBL1127568,CHEMBL66643,,>,>,IC50,nM,20000.0,IC50,uM,20.0
333315,CHEMBL679946,B,CHEMBL1127568,CHEMBL66981,,>,>,IC50,nM,20000.0,IC50,uM,20.0
333587,CHEMBL676067,B,CHEMBL1136802,CHEMBL141238,4.72,=,=,IC50,nM,19054.61,pIC50,,4.72
333903,CHEMBL677206,B,CHEMBL1129933,CHEMBL336174,5.13,=,=,IC50,nM,7400.0,IC50,uM,7.4
333913,CHEMBL677383,F,CHEMBL1129933,CHEMBL336174,,>,>,IC50,nM,100000.0,IC50,uM,100.0
